sequence_id,sample_id,plant,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,fertilization,soil_type
5091_M_2017_P46_N0_A_20180703_RNA,5091,M,2017,P46,N0,A,20180703,69,RNA,yes,rhizosphere
5092_M_2017_P46_N0_B_20180703_RNA,5092,M,2017,P46,N0,B,20180703,69,RNA,yes,rhizosphere
5093_M_2017_P48_N400_A_20180703_RNA,5093,M,2017,P48,N400,A,20180703,69,RNA,yes,rhizosphere
5094_M_2017_P48_N400_B_20180703_RNA,5094,M,2017,P48,N400,B,20180703,69,RNA,yes,rhizosphere
5095_M_2017_P50_N200_A_20180703_RNA,5095,M,2017,P50,N200,A,20180703,69,RNA,yes,rhizosphere
5096_M_2017_P50_N200_B_20180703_RNA,5096,M,2017,P50,N200,B,20180703,69,RNA,yes,rhizosphere
5097_M_2015_P53_N400_A_20180703_RNA,5097,M,2015,P53,N400,A,20180703,69,RNA,yes,rhizosphere
5098_M_2015_P53_N400_B_20180703_RNA,5098,M,2015,P53,N400,B,20180703,69,RNA,yes,rhizosphere
5099_M_2015_P54_N200_A_20180703_RNA,5099,M,2015,P54,N200,A,20180703,69,RNA,yes,rhizosphere
5100_M_2015_P54_N200_B_20180703_RNA,5100,M,2015,P54,N200,B,20180703,69,RNA,yes,rhizosphere
5101_M_2015_P55_N0_A_20180703_RNA,5101,M,2015,P55,N0,A,20180703,69,RNA,yes,rhizosphere
5102_M_2015_P55_N0_B_20180703_RNA,5102,M,2015,P55,N0,B,20180703,69,RNA,yes,rhizosphere
5103_M_2016_P56_N0_A_20180703_RNA,5103,M,2016,P56,N0,A,20180703,69,RNA,yes,rhizosphere
5104_M_2016_P56_N0_B_20180703_RNA,5104,M,2016,P56,N0,B,20180703,69,RNA,yes,rhizosphere
5105_M_2016_P58_N400_A_20180703_RNA,5105,M,2016,P58,N400,A,20180703,69,RNA,yes,rhizosphere
5106_M_2016_P58_N400_B_20180703_RNA,5106,M,2016,P58,N400,B,20180703,69,RNA,yes,rhizosphere
5107_M_2016_P60_N200_A_20180703_RNA,5107,M,2016,P60,N200,A,20180703,69,RNA,yes,rhizosphere
5108_M_2016_P60_N200_B_20180703_RNA,5108,M,2016,P60,N200,B,20180703,69,RNA,yes,rhizosphere
